coast.arch r1 verified; visual status: awaiting_review
coast.bollard r1 verified; visual status: awaiting_review
coast.bridge r2 verified; visual status: awaiting_review
coast.grass r1 verified; visual status: awaiting_review
coast.pump r1 verified; visual status: awaiting_review
coast.rocks r1 verified; visual status: awaiting_review
coast.seawall r1 verified; visual status: awaiting_review
coast.supplies r1 verified; visual status: awaiting_review
coast.tower r1 verified; visual status: awaiting_review
